experiment,epoch,train_loss,train_acc,test_loss,test_acc
Glove + Embedding,100,0.0003,1.0000,1.9180,0.7240
Glove + Embedding,110,0.0002,1.0000,2.0930,0.7292
Glove + Embedding,120,0.0001,1.0000,2.2445,0.7274
Glove * Embedding,0,0.6939,0.5025,0.6931,0.4688
Glove * Embedding,10,0.6928,0.5142,0.6942,0.4688
Glove * Embedding,20,0.6781,0.5244,0.6988,0.4688
Glove * Embedding,30,0.6629,0.5357,0.7225,0.4705
Glove * Embedding,40,0.6552,0.5545,0.7553,0.4618
Glove * Embedding,50,0.6813,0.5266,0.6966,0.5463
Glove * Embedding,60,0.6657,0.5277,0.7082,0.5434
Glove * Embedding,70,0.6583,0.5552,0.7194,0.4971
Glove * Embedding,80,0.6428,0.5876,0.7451,0.5012
Glove * Embedding,90,0.6350,0.6000,0.7691,0.4919
Glove * Embedding,100,0.6024,0.6584,0.8084,0.5093
Glove * Embedding,110,0.6184,0.6477,0.7420,0.5000
Glove * Embedding,120,0.6439,0.6000,0.7658,0.5139
Glove ; Embedding,0,0.6946,0.4905,0.6919,0.5017
Glove ; Embedding,10,0.5338,0.7435,0.5306,0.7477
Glove ; Embedding,20,0.1558,0.9583,0.5270,0.8206
Glove ; Embedding,30,0.0699,0.9855,0.7692,0.8009
Glove ; Embedding,40,0.0388,0.9896,0.8615,0.7911
Glove ; Embedding,50,0.0192,0.9968,0.9732,0.7963
Glove ; Embedding,60,0.0299,0.9932,0.8674,0.7928
Glove ; Embedding,70,0.0070,0.9991,1.0730,0.8015
Glove ; Embedding,80,0.0067,0.9991,0.9479,0.8015
Glove ; Embedding,90,0.0004,1.0000,1.2584,0.8015
Glove ; Embedding,100,0.0002,1.0000,1.3773,0.8015
Glove ; Embedding,110,0.0001,1.0000,1.5095,0.8067
Glove ; Embedding,120,0.0001,1.0000,1.6116,0.8102
